ID,latitude,longitude,Date,farm type,Pop,Infection
"339",14.942449999999999,101.377319999999997,,dairy,"80","0"
"319",14.942880000000001,101.377390000000005,,dairy,"50","0"
"199",14.942589999999999,101.378910000000005,,dairy,"30","0"
"333",14.946410000000000,101.382329999999996,,dairy,"12","0"
"106",14.947789999999999,101.382800000000003,,dairy,"10","0"
"432",14.951650000000001,101.393469999999994,,dairy,"20","0"
"278",14.950049999999999,101.393829999999994,,dairy,"180","0"
"98",14.952280000000000,101.394769999999994,,dairy,"40","0"
"241",14.951829999999999,101.394769999999994,,dairy,"20","0"
"8",14.913270000000001,101.400239999999997,,dairy,"92","0"
"288",14.946590000000000,101.402889999999999,,dairy,"4","0"
"258",14.909120000000000,101.402919999999995,,dairy,"18","0"
"382",14.909140000000001,101.403009999999995,,dairy,"35","0"
"308",14.947929999999999,101.403369999999995,,dairy,"80","0"
"280",14.910520000000000,101.403459999999995,,dairy,"5","0"
"351",14.905060000000001,101.403999999999996,,dairy,"11","0"
"296",14.911590000000000,101.405270000000002,,dairy,"46","0"
"227",14.936510000000000,101.405739999999994,,dairy,"85","0"
"198",14.906330000000001,101.406189999999995,,dairy,"16","0"
"217",14.940860000000001,101.406639999999996,,dairy,"35","0"
"462",14.939710000000000,101.407439999999994,,dairy,"20","0"
"437",14.906440000000000,101.407489999999996,,dairy,"22","0"
"371",14.868140000000000,101.407499999999999,,dairy,"28","0"
"132",14.906370000000001,101.407799999999995,,dairy,"23","0"
"328",14.907190000000000,101.407899999999998,,dairy,"27","0"
"402",14.906210000000000,101.407960000000003,,dairy,"40","0"
"191",14.906210000000000,101.408159999999995,,dairy,"12","0"
"128",14.906090000000001,101.408349999999999,,dairy,"40","0"
"269",14.906160000000000,101.409109999999998,,dairy,"30","0"
"72",14.906210000000000,101.409649999999999,,dairy,"24","0"
"262",14.936400000000001,101.410359999999997,,dairy,"49","0"
"343",14.903490000000000,101.410390000000007,,dairy,17/8,"0"
"118",14.903060000000000,101.410510000000002,,dairy,"54","0"
"317",14.907660000000000,101.410560000000004,,dairy,"10","0"
"488",14.863830000000000,101.411190000000005,,dairy,"15","0"
"263",14.907940000000000,101.411220000000000,,dairy,"30","0"
"397",14.906029999999999,101.411220000000000,,dairy,"52","0"
"248",14.902990000000001,101.411349999999999,,dairy,"61","0"
"322",14.902830000000000,101.411559999999994,,dairy,"68","0"
"144",14.907370000000000,101.411779999999993,,dairy,"28","0"
"6",14.937260000000000,101.411879999999996,,dairy,"40","0"
"356",14.860900000000001,101.412520000000001,,dairy,"60","0"
"352",14.906650000000001,101.412660000000002,,dairy,"42","0"
"439",14.865810000000000,101.412890000000004,,dairy,"32","0"
